type,date,state
PRIMARY,03/07/2000,OH
GENERAL,11/07/2000,OH
SPECIAL,05/08/2001,OH
GENERAL,11/06/2001,OH
PRIMARY,05/07/2002,OH
GENERAL,11/05/2002,OH
SPECIAL,05/06/2003,OH
GENERAL,11/04/2003,OH
PRIMARY,03/02/2004,OH
GENERAL,11/02/2004,OH
SPECIAL,02/08/2005,OH
PRIMARY,05/03/2005,OH
PRIMARY,09/13/2005,OH
GENERAL,11/08/2005,OH
SPECIAL,02/07/2006,OH
PRIMARY,05/02/2006,OH
GENERAL,11/07/2006,OH
PRIMARY,05/08/2007,OH
PRIMARY,09/11/2007,OH
GENERAL,11/06/2007,OH
PRIMARY,11/06/2007,OH
GENERAL,12/11/2007,OH
PRIMARY,03/04/2008,OH
PRIMARY,10/14/2008,OH
GENERAL,11/04/2008,OH
GENERAL,11/18/2008,OH
PRIMARY,05/05/2009,OH
PRIMARY,09/08/2009,OH
PRIMARY,09/15/2009,OH
PRIMARY,09/29/2009,OH
GENERAL,11/03/2009,OH
PRIMARY,05/04/2010,OH
PRIMARY,07/13/2010,OH
PRIMARY,09/07/2010,OH
GENERAL,11/02/2010,OH
PRIMARY,05/03/2011,OH
PRIMARY,09/13/2011,OH
GENERAL,11/08/2011,OH
PRIMARY,03/06/2012,OH
GENERAL,11/06/2012,OH
PRIMARY,05/07/2013,OH
PRIMARY,09/10/2013,OH
PRIMARY,10/01/2013,OH
GENERAL,11/05/2013,OH
PRIMARY,05/06/2014,OH
GENERAL,11/04/2014,OH
PRIMARY,05/05/2015,OH
PRIMARY,09/15/2015,OH
GENERAL,11/03/2015,OH
PRIMARY,03/15/2016,OH
GENERAL,06/07/2016,OH
PRIMARY,09/13/2016,OH
GENERAL,11/08/2016,OH
